EaseOfUse	Gender	Age	DatePosted	Satisfaction	Reason	Supplement	NReviews	Effectiveness
5	Female	35-44	5/2/2014	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	5/2/2014	4	Other	COLLOIDAL SILVER	308	4
5	Female	55-64	4/21/2014	5	Other	COLLOIDAL SILVER	308	5
5	Female	25-34	4/3/2014	5	Other	COLLOIDAL SILVER	308	5
5	Male	55-64	3/31/2014	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	4/14/2014	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	65-74	3/24/2014	5	Other	COLLOIDAL SILVER	308	5
5	Male	25-34	2/17/2014	5	Other	COLLOIDAL SILVER	308	5
5	Male	25-34	1/31/2014	5	Other	COLLOIDAL SILVER	308	5
4	Male	55-64	1/30/2014	4	Other	COLLOIDAL SILVER	308	4
5	Female	55-64	1/23/2014	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	1/13/2014	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	1/2/2014	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	12/22/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	25-34	12/14/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	19-24	11/21/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	11/19/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	11/6/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
4	Male	55-64	10/14/2013	4	Other	COLLOIDAL SILVER	308	4
5	Female	55-64	10/3/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	9/21/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	9/14/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	9/7/2013	4	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	8/21/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	7/30/2013	5	Other	COLLOIDAL SILVER	308	5
4	Female	65-74	7/23/2013	4	General Health & Wellness	COLLOIDAL SILVER	308	4
5	Male	35-44	7/22/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	7/19/2013	5	Other	COLLOIDAL SILVER	308	5
5	Male	35-44	7/14/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	25-34	7/8/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	25-34	7/8/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	6/5/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	5/31/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	25-34	4/12/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	3/25/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	35-44	3/22/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	3/4/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	2/27/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/20/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	19-24	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	25-34	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	25-34	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	65-74	2/20/2013	5	Other	COLLOIDAL SILVER	308	5
5	Male	55-64	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	35-44	2/20/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/19/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	2/19/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/19/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	2/19/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	2/19/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	2/19/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	2/19/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	4
5	Female	45-54	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	2/18/2013	5	Other	COLLOIDAL SILVER	308	5
5	Male	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	2/18/2013	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	2/18/2013	5	Other	COLLOIDAL SILVER	308	5
5	Male	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	2/18/2013	5	Other	COLLOIDAL SILVER	308	5
5	Male	55-64	2/18/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	25-34	1/30/2013	5	Other	COLLOIDAL SILVER	308	5
5	Male	25-34	1/28/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	1/19/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	1/14/2013	5	General Health & Wellness	COLLOIDAL SILVER	308	5
2	Female	25-34	12/18/2012	1	Other	COLLOIDAL SILVER	308	1
5	Female	45-54	12/17/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	12/12/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	12/11/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	12/11/2012	1	General Health & Wellness	COLLOIDAL SILVER	308	1
5	Male	55-64	12/10/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	12/8/2012	5	Other	COLLOIDAL SILVER	308	5
5	Female	35-44	11/16/2012	5	Other	COLLOIDAL SILVER	308	5
5	Male	45-54	10/22/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
1	Male	65-74	10/2/2012	1	General Health & Wellness	COLLOIDAL SILVER	308	1
5	Male	25-34	9/28/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	25-34	8/21/2012	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	8/15/2012	5	Other	COLLOIDAL SILVER	308	5
5	Male	45-54	8/15/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	7/21/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	7/10/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	6/6/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	25-34	5/19/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	3/5/2012	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	2/16/2012	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	2/11/2012	1	Other	COLLOIDAL SILVER	308	2
5	Female	45-54	10/16/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	10/7/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	19-24	9/25/2011	5	Other	COLLOIDAL SILVER	308	5
5	Male	35-44	8/7/2011	5	Other	COLLOIDAL SILVER	308	5
5	Male	35-44	7/21/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	25-34	6/20/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	6/20/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	35-44	6/20/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	6/18/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	6/18/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	6/15/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	6/16/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	6/16/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	6/16/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	6/16/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	6/14/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	6/14/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	6/14/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	6/14/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	25-34	6/14/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	65-74	6/14/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	6/14/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	6/14/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	65-74	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	6/13/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	35-44	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	35-44	6/13/2011	5	Other	COLLOIDAL SILVER	308	5
5	Male	65-74	6/13/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	55-64	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	35-44	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	6/13/2011	5	Other	COLLOIDAL SILVER	308	5
5	Male	65-74	6/13/2011	5	Other	COLLOIDAL SILVER	308	5
5	Male	55-64	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	65-74	6/13/2011	5	Other	COLLOIDAL SILVER	308	5
5	Male	55-64	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	45-54	6/13/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	35-44	6/8/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	6/2/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Female	55-64	6/1/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	45-54	6/1/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	35-44	6/1/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	65-74	5/31/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	5/31/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	5/31/2011	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	55-64	5/31/2011	5	Other	COLLOIDAL SILVER	308	5
5	Female	45-54	3/5/2011	5	Other	COLLOIDAL SILVER	308	5
5	Male	45-54	7/13/2010	5	Other	COLLOIDAL SILVER	308	5
5	Female	35-44	11/12/2009	5	General Health & Wellness	COLLOIDAL SILVER	308	5
5	Male	35-44	9/26/2009	5	Other	COLLOIDAL SILVER	308	4
1	Female	65-74	8/19/2017	2	Weight loss	CONJUGATED LINOLEIC ACID	77	1
5	Female	65-74	7/8/2017	1	Weight loss	CONJUGATED LINOLEIC ACID	77	1
5	Male	25-34	2/17/2017	4	Weight loss	CONJUGATED LINOLEIC ACID	77	4
3	Female	25-34	2/10/2017	5	Weight loss	CONJUGATED LINOLEIC ACID	77	4
5	Female	35-44	11/21/2016	4	Overweight	CONJUGATED LINOLEIC ACID	77	4
4	Female	45-54	10/10/2016	2	Weight loss	CONJUGATED LINOLEIC ACID	77	1
4	Male	55-64	8/28/2016	2	High blood pressure	CONJUGATED LINOLEIC ACID	77	2
5	Male	19-24	8/13/2016	5	Weight loss	CONJUGATED LINOLEIC ACID	77	5
1	Female	45-54	8/7/2016	1	Overweight	CONJUGATED LINOLEIC ACID	77	1
5	Female	45-54	7/27/2016	4	Weight loss	CONJUGATED LINOLEIC ACID	77	4
1	Male	13-18	3/10/2016	1	Weight loss	CONJUGATED LINOLEIC ACID	77	1
3	Female	55-64	2/14/2016	1	Weight loss	CONJUGATED LINOLEIC ACID	77	1
5	Female	25-34	1/22/2016	5	General Health & Wellness	CONJUGATED LINOLEIC ACID	77	5
3	Male	55-64	9/12/2015	3	High blood pressure	CONJUGATED LINOLEIC ACID	77	2
5	Female	65-74	8/31/2015	1	Weight loss	CONJUGATED LINOLEIC ACID	77	1
5	Female	45-54	7/24/2015	5	Weight loss	CONJUGATED LINOLEIC ACID	77	5
4	Female	25-34	6/14/2015	5	Weight loss	CONJUGATED LINOLEIC ACID	77	4
5	Female	19-24	3/14/2015	5	Weight loss	CONJUGATED LINOLEIC ACID	77	5
5	Female	25-34	2/12/2015	5	Overweight	CONJUGATED LINOLEIC ACID	77	5
5	Female	45-54	2/4/2015	5	Weight loss	CONJUGATED LINOLEIC ACID	77	4
4	Male	25-34	1/23/2015	4	General Health & Wellness	CONJUGATED LINOLEIC ACID	77	4
4	Female	35-44	1/17/2015	1	Weight loss	CONJUGATED LINOLEIC ACID	77	1
5	Female	55-64	7/25/2014	5	Other	CONJUGATED LINOLEIC ACID	77	5
5	Male	65-74	7/18/2014	5	Overweight	CONJUGATED LINOLEIC ACID	77	5
3	Male	19-24	6/10/2014	4	Weight loss	CONJUGATED LINOLEIC ACID	77	4
5	Female	45-54	3/5/2014	4	General Health & Wellness	CONJUGATED LINOLEIC ACID	77	5
5	Female	45-54	11/14/2013	5	Breast cancer	CONJUGATED LINOLEIC ACID	77	5
5	Female	55-64	10/4/2013	4	Overweight	CONJUGATED LINOLEIC ACID	77	3
4	Male	45-54	10/2/2013	1	Obesity	CONJUGATED LINOLEIC ACID	77	1
5	Female	25-34	7/23/2013	5	Other	CONJUGATED LINOLEIC ACID	77	5
4	Male	45-54	7/14/2013	3	General Health & Wellness	CONJUGATED LINOLEIC ACID	77	4
5	Male	55-64	7/7/2013	5	Overweight	CONJUGATED LINOLEIC ACID	77	3
5	Male	C9-T11,	7/4/2013	5	General Health & Wellness	CONJUGATED LINOLEIC ACID	77	5
1	Female	45-54	5/21/2013	1	Overweight	CONJUGATED LINOLEIC ACID	77	1
5	Female	65-74	5/17/2013	5	Overweight	CONJUGATED LINOLEIC ACID	77	5
4	Male	45-54	3/27/2013	4	Other	CONJUGATED LINOLEIC ACID	77	4
5	Female	45-54	3/25/2013	5	Obesity	CONJUGATED LINOLEIC ACID	77	5
5	Female	35-44	3/19/2013	5	Overweight	CONJUGATED LINOLEIC ACID	77	5
3	Female	35-44	2/27/2013	3	Overweight	CONJUGATED LINOLEIC ACID	77	3
3	Male	65-74	2/13/2013	1	Overweight	CONJUGATED LINOLEIC ACID	77	1
5	Female	25-34	2/8/2013	5	Overweight	CONJUGATED LINOLEIC ACID	77	5
5	Male	65-74	1/29/2013	4	Obesity	CONJUGATED LINOLEIC ACID	77	4
5	Male	19-24	1/14/2013	3	Obesity	CONJUGATED LINOLEIC ACID	77	4
5	Male	45-54	10/22/2012	5	Other	CONJUGATED LINOLEIC ACID	77	5
5	Male	45-54	6/30/2012	3	Overweight	CONJUGATED LINOLEIC ACID	77	5
5	Female	55-64	5/31/2012	4	Weight loss	CONJUGATED LINOLEIC ACID	77	3
5	Male	35-44	5/13/2012	5	Weight loss	CONJUGATED LINOLEIC ACID	77	5
1	Female	45-54	5/1/2012	1	Weight loss	CONJUGATED LINOLEIC ACID	77	1
3	Female	25-34	3/25/2012	4	Overweight	CONJUGATED LINOLEIC ACID	77	4
5	Female	35-44	1/26/2012	4	Obesity	CONJUGATED LINOLEIC ACID	77	4
3	Female	35-44	9/24/2011	1	Weight loss	CONJUGATED LINOLEIC ACID	77	1
4	Female	45-54	6/16/2011	4	Weight loss	CONJUGATED LINOLEIC ACID	77	3
5	Male	25-34	5/5/2011	5	Weight loss	CONJUGATED LINOLEIC ACID	77	5
5	Male	45-54	9/7/2010	5	General Health & Wellness	CONJUGATED LINOLEIC ACID	77	5
3	Female	45-54	5/14/2010	3	Obesity	CONJUGATED LINOLEIC ACID	77	3
5	Male	55-64	2/7/2010	4	Overweight	CONJUGATED LINOLEIC ACID	77	5
5	Female	55-64	2/3/2010	5	General Health & Wellness	CONJUGATED LINOLEIC ACID	77	5
5	Female	25-34	10/26/2009	1	Weight loss	CONJUGATED LINOLEIC ACID	77	1
5	Female	25-34	9/23/2009	5	Weight loss	CONJUGATED LINOLEIC ACID	77	5
5	Female	35-44	9/9/2009	5	General Health & Wellness	CONJUGATED LINOLEIC ACID	77	4
5	Male	45-54	6/26/2009	5	Skin cancer	CONJUGATED LINOLEIC ACID	77	5
5	Male	65-74	1/30/2019	5	General Health & Wellness	CORDYCEPS	31	5
1	Male	35-44	5/18/2018	1	General Health & Wellness	CORDYCEPS	31	1
5	Female	25-34	1/6/2018	5	General Health & Wellness	CORDYCEPS	31	5
5	Male	55-64	2/23/2017	5	Sexual desire	CORDYCEPS	31	5
5	Male	35-44	4/6/2016	5	Sexual desire	CORDYCEPS	31	5
5	Female	55-64	11/16/2015	5	General Health & Wellness	CORDYCEPS	31	5
5	Female	65-74	9/5/2015	5	Other	CORDYCEPS	31	5
4	Male	45-54	8/29/2015	4	Respiratory conditions	CORDYCEPS	31	4
4	Male	-	4/21/2015	2	Respiratory conditions	CORDYCEPS	31	2
4	Male	55-64	3/2/2015	3	Sexual desire	CORDYCEPS	31	4
5	Male	55-64	11/9/2014	4	Athletic performance	CORDYCEPS	31	4
1	Female	55-64	9/14/2014	1	Other	CORDYCEPS	31	1
5	Female	25-34	9/1/2014	5	General Health & Wellness	CORDYCEPS	31	5
5	Female	45-54	4/12/2014	4	General Health & Wellness	CORDYCEPS	31	4
5	Male	25-34	11/20/2013	5	Athletic conditioning	CORDYCEPS	31	5
5	Female	45-54	11/18/2013	5	Athletic performance	CORDYCEPS	31	4
5	Female	45-54	6/27/2013	5	Chemotherapy-related fatigue	CORDYCEPS	31	5
4	Male	25-34	5/30/2013	4	Athletic performance	CORDYCEPS	31	4
5	Male	25-34	2/21/2013	5	Hepatitis-related fatigue	CORDYCEPS	31	5
5	Female	45-54	11/14/2012	5	Other	CORDYCEPS	31	5
5	Male	65-74	9/25/2012	5	Other	CORDYCEPS	31	5
5	Male	45-54	3/10/2012	5	General Health & Wellness	CORDYCEPS	31	5
5	Female	45-54	9/3/2011	5	Other	CORDYCEPS	31	5
3	Male	45-54	3/6/2011	2	General Health & Wellness	CORDYCEPS	31	2
4	Female	55-64	7/16/2010	4	Other	CORDYCEPS	31	4
5	Male	65-74	6/3/2010	5	General Health & Wellness	CORDYCEPS	31	4
5	Male	25-34	9/11/2017	3	General Health & Wellness	CREATINE	39	3
5	Female	35-44	7/12/2017	5	Athletic performance	CREATINE	39	5
1	Male	65-74	9/11/2016	1	Athletic conditioning	CREATINE	39	1
5	Female	35-44	1/26/2016	2	Aging	CREATINE	39	4
3	Male	65-74	11/29/2015	3	Aging	CREATINE	39	3
5	Male	65-74	10/25/2015	5	General Health & Wellness	CREATINE	39	5
5	Female	65-74	10/8/2015	1	Muscular dystrophy	CREATINE	39	2
4	Male	19-24	9/14/2015	3	Athletic performance	CREATINE	39	2
2	Male	19-24	5/1/2014	2	Other	CREATINE	39	4
5	Male	25-34	4/29/2014	4	Athletic conditioning	CREATINE	39	4
3	Male	13-18	10/8/2013	2	Athletic conditioning	CREATINE	39	4
3	Female	45-54	8/8/2013	3	Rheumatoid arthritis (RA)	CREATINE	39	3
4	Male	45-54	8/16/2012	4	General Health & Wellness	CREATINE	39	4
4	Male	35-44	6/12/2012	4	General Health & Wellness	CREATINE	39	4
3	Male	19-24	5/15/2012	4	General Health & Wellness	CREATINE	39	4
5	Male	35-44	5/8/2012	5	General Health & Wellness	CREATINE	39	5
4	Female	25-34	9/26/2011	1	Athletic performance	CREATINE	39	1
5	Male	35-44	1/29/2011	5	Athletic performance	CREATINE	39	5
5	Female	65-74	11/25/2010	5	Congestive heart failure (CHF)	CREATINE	39	5
5	Male	19-24	11/23/2010	4	Athletic performance	CREATINE	39	4
5	Male	25-34	9/17/2010	3	Other	CREATINE	39	3
5	Male	45-54	3/28/2010	5	Athletic performance	CREATINE	39	4
5	Male	35-44	3/14/2010	5	Athletic performance	CREATINE	39	5
5	Male	19-24	1/28/2010	5	General Health & Wellness	CREATINE	39	5
5	Male	35-44	10/26/2009	2	Other	CREATINE	39	4
4	Male	25-34	10/14/2009	4	Athletic performance	CREATINE	39	4
5	Male	45-54	7/1/2009	5	Athletic performance	CREATINE	39	5
5	Male	13-18	2/26/2009	5	Other	CREATINE	39	5
5	Male	13-18	1/6/2009	5	Other	CREATINE	39	5
3	Male	55-64	7/1/2008	4	Other	CREATINE	39	4
3	Male	55-64	1/10/2008	4	Other	CREATINE	39	3
5	Male	25-34	8/4/2018	5	"Antidepressant-induced sexual ...
							"	DAMIANA	38	5
4	Male	25-34	4/4/2018	3	Sexual dysfunction	DAMIANA	38	3
5	Male	55-64	1/16/2018	5	Sexual arousal	DAMIANA	38	4
5	Male	35-44	10/20/2016	5	Other	DAMIANA	38	5
3	Male	65-74	9/19/2016	1	Other	DAMIANA	38	1
4	Male	65-74	5/23/2016	4	"Antidepressant-induced sexual ...
							"	DAMIANA	38	4
5	Female	45-54	2/24/2015	5	Sexual arousal	DAMIANA	38	5
5	Female	25-34	1/17/2015	5	"Antidepressant-induced sexual ...
							"	DAMIANA	38	5
5	Male	35-44	12/13/2014	5	Sexual dysfunction	DAMIANA	38	3
5	Female	25-34	11/3/2014	3	Sexual arousal	DAMIANA	38	4
5	Female	19-24	9/26/2014	5	General Health & Wellness	DAMIANA	38	4
4	Female	25-34	8/9/2014	5	Other	DAMIANA	38	4
4	Male	35-44	6/30/2014	3	Other	DAMIANA	38	4
4	Male	55-64	5/28/2014	5	General Health & Wellness	DAMIANA	38	5
5	Male	55-64	4/8/2014	5	General Health & Wellness	DAMIANA	38	5
5	Female	35-44	10/7/2013	5	General Health & Wellness	DAMIANA	38	5
5	Female	35-44	9/21/2013	5	Other	DAMIANA	38	5
5	Female	45-54	6/23/2013	5	General Health & Wellness	DAMIANA	38	5
3	Male	65-74	6/11/2013	5	General Health & Wellness	DAMIANA	38	4
5	Female	35-44	2/28/2013	2	Other	DAMIANA	38	2
5	Male	55-64	2/6/2013	5	General Health & Wellness	DAMIANA	38	5
5	Male	55-64	2/5/2013	1	General Health & Wellness	DAMIANA	38	1
5	Male	35-44	11/19/2012	5	General Health & Wellness	DAMIANA	38	5
4	Male	25-34	10/3/2012	4	Other	DAMIANA	38	5
5	Male	55-64	9/26/2012	5	Other	DAMIANA	38	5
5	Female	25-34	7/29/2012	5	General Health & Wellness	DAMIANA	38	4
5	Female	35-44	6/26/2012	5	Other	DAMIANA	38	5
1	Male	25-34	4/16/2012	1	General Health & Wellness	DAMIANA	38	4
5	Female	25-34	3/30/2012	4	Other	DAMIANA	38	3
5	Male	55-64	1/5/2012	1	General Health & Wellness	DAMIANA	38	1
3	Male	45-54	11/28/2011	3	General Health & Wellness	DAMIANA	38	3
5	Male	19-24	9/25/2011	5	Other	DAMIANA	38	5
4	Female	45-54	11/5/2010	3	General Health & Wellness	DAMIANA	38	3
5	Male	45-54	7/20/2010	3	Other	DAMIANA	38	3
5	Male	45-54	6/3/2010	5	General Health & Wellness	DAMIANA	38	5
1	Female	45-54	3/30/2010	1	Other	DAMIANA	38	1
5	Female	35-44	1/30/2019	5	Colds and flu	ECHINACEA	86	5
1	Female	25-34	1/29/2019	1	Common cold	ECHINACEA	86	1
5	Female	45-54	9/19/2017	5	Other	ECHINACEA	86	5
5	Male	25-34	8/17/2017	3	Herpes simplex	ECHINACEA	86	3
3	Male	55-64	9/19/2016	3	Genital herpes	ECHINACEA	86	3
4	Female	45-54	9/16/2016	4	Common cold	ECHINACEA	86	4
1	Female	25-34	7/18/2016	1	Common cold	ECHINACEA	86	1
5	Female	45-54	3/13/2016	5	Colds and flu	ECHINACEA	86	5
5	Female	55-64	11/17/2015	5	General Health & Wellness	ECHINACEA	86	5
5	Female	55-64	8/13/2015	4	General Health & Wellness	ECHINACEA	86	4
5	Female	65-74	7/6/2015	5	General Health & Wellness	ECHINACEA	86	5
5	Male	25-34	6/18/2015	5	"Upper respiratory tract infect...
							"	ECHINACEA	86	4
4	Female	35-44	6/10/2015	1	Colds and flu	ECHINACEA	86	1
5	Female	45-54	3/14/2015	1	General Health & Wellness	ECHINACEA	86	1
5	Female	Fit-at	1/16/2015	4	Common cold	ECHINACEA	86	4
5	Male	55-64	12/6/2014	4	Exercise performance	ECHINACEA	86	4
5	Male	35-44	11/16/2014	4	"Upper respiratory tract infect...
							"	ECHINACEA	86	4
5	Female	45-54	11/9/2014	5	URTI	ECHINACEA	86	5
5	Female	45-54	10/15/2014	5	Common cold	ECHINACEA	86	5
5	Male	45-54	8/29/2014	5	Colds and flu	ECHINACEA	86	5
5	Female	55-64	4/11/2014	5	Colds and flu	ECHINACEA	86	4
2	Female	35-44	4/2/2014	3	"Herpes simplex virus type 2 (H...
							"	ECHINACEA	86	4
5	Female	55-64	3/18/2014	5	General Health & Wellness	ECHINACEA	86	5
5	Male	65-74	3/6/2014	5	General Health & Wellness	ECHINACEA	86	5
5	Female	35-44	2/23/2014	4	Respiratory tract infections	ECHINACEA	86	4
5	Female	35-44	2/14/2014	5	Colds and flu	ECHINACEA	86	5
5	Female	65-74	2/8/2014	4	"Upper respiratory tract infect...
							"	ECHINACEA	86	5
3	Male	35-44	2/5/2014	1	Common cold	ECHINACEA	86	1
4	Male	45-54	1/25/2014	5	Flu	ECHINACEA	86	5
5	Female	19-24	1/20/2014	5	Colds and flu	ECHINACEA	86	4
5	Female	55-64	1/7/2014	5	General Health & Wellness	ECHINACEA	86	5
5	Male	55-64	1/2/2014	1	General Health & Wellness	ECHINACEA	86	1
5	Female	25-34	12/19/2013	4	Common cold	ECHINACEA	86	4
5	Female	65-74	12/12/2013	5	Colds and flu	ECHINACEA	86	5
